1	0	100470
2	865	101025
3	6731	106979
4	7626	107759
5	8448	108584
6	9272	109406
7	10095	110226
8	10915	111035
9	11725	111998
10	12624	112777
11	13436	113584
12	14242	114400
13	15052	115323
14	15934	116108
15	16778	116918
16	17588	117698
17	18384	118585
18	19228	119437
19	20110	120211
20	20900	121018
21	21698	121797
22	22488	122588
23	23277	123377
24	24067	124167
25	24856	124968
26	25645	125749
27	26438	126509
28	27227	127297
29	28017	128087
30	28806	128874
31	29595	129664
32	30384	130454
33	31173	131244
34	31963	132034
35	32753	132824
36	33545	133615
37	34334	134410
38	35124	135195
39	35913	135991
40	36702	136772
41	37492	137592
42	38281	138381
43	39070	139172
44	39861	139962
45	40650	140750
46	41439	141541
47	42229	142329
48	43018	143118
49	43807	143907
50	44596	144696
51	45385	145485
52	46175	146275
53	46964	147066
54	47753	147856
55	48546	148645
56	49335	149435
57	50124	150225
58	50914	151014
59	51703	151813
60	52494	152565
61	53284	153353
62	54073	154143
63	54862	154930
64	55651	155720
65	56440	156510
66	57229	157298
67	58018	158088
68	58808	158876
69	59597	159666
70	60386	160456
71	61176	161245
72	61965	162034
73	62754	162825
74	63546	163614
75	64335	164405
76	65124	165197
77	65915	165997
78	66712	166785
79	67501	167576
80	68290	168369
81	69080	169158
82	69869	169949
83	70659	170736
84	71448	171526
85	72237	172316
86	73027	173105
87	73816	173894
88	74606	174683
89	75395	175472
90	76184	176261
91	76973	177050
92	77763	177848
93	78556	178633
94	79345	179423
95	80135	180213
96	80924	181003
97	81714	181793
98	82504	182581
99	83293	183371
100	84082	184160
101	84872	184949
102	85661	185738
103	86451	186528
104	87240	187318
105	88030	188107
106	88819	188898
107	89609	189688
108	90399	190479
109	91190	191269
110	91980	192058
111	92772	192851
112	93561	193638
113	94350	194428
114	95140	195218
115	95929	196023
116	96719	196797
117	97508	197586
118	98298	198375
119	99088	199164
120	99877	199953
121	100667	200745
122	101457	201538
123	102248	202328
124	103040	203120
125	103831	203910
126	104622	204700
127	105412	205490
128	106201	206279
129	106991	207079
130	107783	207871
131	108582	208662
132	109373	209461
133	110171	210258
134	110969	211056
135	111759	211840
136	112551	212630
137	113341	213419
138	114130	214209
139	114920	214998
140	115710	215800
141	116501	216579
142	117291	217369
143	118080	218158
144	118869	218947
145	119659	219737
146	120448	220526
147	121238	221316
148	122028	222106
149	122817	222895
150	123607	223684
151	124396	224474
152	125186	225264
153	125975	226064
154	126775	226855
155	127566	227646
156	128358	228440
157	129151	229231
158	129942	230045
159	130742	230843
160	131539	231620
161	132330	232411
162	133122	233202
163	133913	233992
164	134704	234793
165	135500	235580
166	136292	236372
167	137083	237162
168	137873	237951
169	138663	238741
170	139452	239530
171	140242	240320
172	141031	241112
173	141823	241901
174	142613	242690
175	143402	243480
176	144191	244269
177	144981	245059
178	145772	245850
179	146561	246639
180	147351	247429
181	148140	248220
182	148930	249008
183	149719	249797
184	150509	250588
185	151299	251377
186	152088	252169
187	152879	252960
188	153671	253753
189	154465	254545
190	155256	255337
191	156047	256128
192	156839	256919
193	157631	257711
194	158422	258502
195	159214	259294
196	160005	260085
197	160797	260877
198	161589	261669
199	162380	262460
200	163172	263251
201	163963	264060
202	164772	264852
203	165564	265644
204	166354	267114
205	167824	267905
206	168616	268694
207	169406	269490
208	170199	270292
209	171002	271083
210	171793	271877
211	172585	272665
212	173376	273455
213	174168	274247
214	174959	275038
215	175750	275848
216	176552	276629
217	177342	277420
218	178133	278210
219	178923	279002
220	179715	279797
221	180509	280589
222	181301	281380
223	182092	282172
224	182884	282964
225	183676	283754
226	184468	284572
227	185312	285411
228	186153	286252
229	186993	287100
230	187842	287942
231	188683	288768
232	189477	289557
233	190269	290348
234	191060	291138
235	191851	291937
236	192641	292722
237	193435	293512
238	194225	294303
239	195016	295093
240	195806	295893
241	196605	296682
242	197395	297473
243	198186	298264
244	198976	299054
245	199767	299847
246	200560	300637
247	201350	301428
248	202140	302219
249	202932	303010
250	203722	303801
251	204513	304591
252	205303	305383
253	206096	306173
254	206886	306967
255	207677	307755
256	208467	308546
257	209258	309336
258	210049	310127
259	210839	310918
260	211630	311708
261	212420	312499
262	213211	313289
263	214002	314079
264	214792	314870
265	215583	315660
266	216373	316451
267	217163	317245
268	217957	318042
269	218754	318851
270	219556	319633
271	220346	320423
272	221136	321214
273	221927	322008
274	222717	322803
275	223508	323586
276	224299	324377
277	225089	325167
278	225880	325958
279	226670	326747
280	227461	327538
281	228251	328329
282	229041	329119
283	229832	329911
284	230623	330703
285	231415	331494
286	232205	332285
287	232996	333074
288	233786	333865
289	234577	334657
290	235367	335446
