0	84	0	0	0	
519	186	84	0	0	
143	359	270	0	0	
161	28	629	0	0	
139	278	657	0	0	
133	44	935	0	0	
137	13	979	0	0	
138	181	992	0	0	
146	88	1173	0	0	
139	136	1261	0	0	
141	87	1397	0	0	
142	25	1484	0	0	
135	60	1509	0	0	
136	28	1569	0	0	
144	55	1569	0	28	
147	36	1624	0	28	
141	4	1660	0	28	
134	14	1664	0	28	
135	361	1678	0	28	
134	81	2039	0	28	
135	208	2039	0	109	
139	73	2247	0	109	
139	220	2320	0	109	
140	14	2540	0	109	
134	7	2540	0	123	
121	139	2547	0	123	
124	125	2547	0	262	
126	111	2547	0	387	
132	32	2547	0	498	
137	98	2579	0	498	
137	110	2579	0	596	
135	22	2689	0	596	
133	9	2689	0	618	
134	5	2698	0	618	
133	89	2698	0	623	
137	51	2698	89	623	
138	20	2698	140	623	
140	69	2718	140	623	
139	326	2718	209	623	
139	89	2718	535	623	
138	145	2718	535	712	
136	3	2718	680	712	
134	51	2721	680	712	
134	54	2721	680	763	
132	20	2721	734	763	
137	101	2721	754	763	
133	133	2721	855	763	
134	11	2854	855	763	
133	9	2854	866	763	
132	69	2863	866	763	
129	7	2863	866	832	
130	69	2863	873	832	
134	326	2932	873	832	
130	145	2932	873	1158	
137	59	2932	873	1303	
137	54	2991	873	1303	
134	386	2991	873	1357	
135	21	2991	1259	1357	
133	20	2991	1280	1357	
133	136	2991	1280	1377	
140	180	2991	1416	1377	
134	101	3171	1416	1377	
136	24	3171	1416	1478	
140	191	3171	1440	1478	
129	30	3362	1440	1478	
136	44	3392	1440	1478	
130	73	3436	1440	1478	
880	629	3436	1513	1478	
139	24	4065	1513	1478	
137	92	4065	1537	1478	
130	126	4065	1629	1478	
138	11	4191	1629	1478	
134	7	4191	1629	1489	
134	157	4191	1629	1496	
134	111	4191	1786	1496	
143	279	4302	1786	1496	
146	380	4581	1786	1496	
140	228	4581	2166	1496	
142	93	4581	2394	1496	
133	133	4581	2487	1496	
136	126	4581	2620	1496	
173	67	4707	2620	1496	
