0	31	0	0	0	
354	31	0	31	0	
109	100	0	0	0	
97	28	0	0	0	
197	81	0	0	0	
147	14	0	0	0	
141	100	0	0	0	
126	139	0	0	0	
147	125	0	0	0	
132	111	0	0	0	
140	28	0	0	0	
158	98	0	0	0	
158	22	0	0	0	
151	5	0	0	0	
139	81	0	0	0	
149	89	0	0	0	
129	14	0	0	0	
159	51	0	0	0	
147	139	0	0	0	
145	125	0	0	0	
146	69	0	0	0	
146	111	0	0	0	
146	326	0	0	0	
147	98	0	0	0	
144	145	0	98	0	
151	54	0	0	0	
145	22	0	0	0	
131	20	0	0	0	
130	5	0	0	0	
146	101	0	0	0	
147	89	0	0	0	
144	51	0	0	0	
3678	69	0	0	0	
213	326	0	0	0	
156	145	0	0	0	
166	54	0	145	0	
160	20	0	199	0	
149	101	0	219	0	
161	11	0	320	0	
138	7	0	331	0	
8958	386	0	0	0	
184	21	0	386	0	
147	136	0	21	0	
143	24	0	0	0	
145	73	0	0	0	
149	24	0	0	0	
138	92	0	0	0	
145	157	0	0	0	
136	380	0	0	0	
139	228	0	0	0	
138	93	0	228	0	
139	133	0	93	0	
141	9	0	0	0	
137	160	0	0	0	
142	58	0	0	0	
138	261	0	0	0	
138	11	0	0	0	
144	7	0	0	0	
143	21	0	0	0	
139	386	0	0	0	
133	128	0	0	0	
153	21	0	128	0	
145	136	0	0	0	
155	23	0	0	0	
146	24	0	0	0	
146	111	0	0	0	
147	62	0	0	0	
146	73	0	0	0	
147	44	0	0	0	
140	24	0	0	0	
140	92	0	0	0	
134	157	0	0	0	
137	9	0	0	0	
137	380	0	0	0	
138	228	0	0	0	
147	128	0	0	228	
138	93	0	128	0	
144	133	0	0	0	
136	132	0	0	0	
137	9	0	0	0	
133	92	0	0	0	
139	133	0	0	0	
139	160	0	0	0	
134	321	0	0	0	
140	58	0	0	0	
138	261	0	0	58	
142	122	0	0	0	
135	21	0	0	0	
137	16	0	0	0	
135	128	0	0	0	
146	48	0	0	0	
136	58	0	0	0	
136	23	0	0	0	
137	111	0	0	0	
139	62	0	0	0	
172	158	0	0	0	
146	44	0	0	0	
139	69	0	0	0	
139	9	0	0	0	
140	80	0	0	0	
284	99	0	0	0	
137	87	0	0	0	
142	128	0	0	0	
142	132	0	0	0	
134	286	0	0	0	
134	92	0	0	0	
137	133	0	0	0	
137	28	0	0	0	
136	321	0	0	0	
136	84	0	0	0	
142	186	0	84	0	
136	122	0	0	0	
136	16	0	0	0	
135	48	0	0	0	
139	359	0	0	0	
133	58	0	0	0	
133	28	0	0	58	
154	158	0	0	0	
143	278	0	0	0	
133	44	0	0	0	
135	69	0	0	0	
138	80	0	0	0	
