0	0.0	I	536	536
4	133.33333	P	152	152
1	33.33333	B	136	136
2	66.66667	B	136	136
3	100.0	B	136	136
8	266.66666	P	160	156
5	166.66667	B	136	136
6	200.0	B	136	136
7	233.33333	B	136	136
12	400.0	P	160	157
9	300.0	B	136	136
10	333.33334	B	136	136
11	366.66666	B	136	136
16	533.3333	I	528	532
13	433.33334	B	136	136
14	466.66666	B	136	136
15	500.0	B	136	136
20	666.6667	P	160	158
17	566.6667	B	136	136
18	600.0	B	136	136
19	633.3333	B	136	136
24	800.0	P	160	158
21	700.0	B	136	136
22	733.3333	B	136	136
23	766.6667	B	136	136
28	933.3333	P	160	158
25	833.3333	B	136	136
26	866.6667	B	136	136
27	900.0	B	136	136
32	1066.6666	I	528	530
29	966.6667	B	136	136
30	1000.0	B	136	136
31	1033.3334	B	136	136
36	1200.0	P	160	158
33	1100.0	B	136	136
34	1133.3334	B	136	136
35	1166.6666	B	136	136
40	1333.3334	P	160	159
37	1233.3334	B	136	136
38	1266.6666	B	136	136
39	1300.0	B	136	136
44	1466.6666	P	160	159
41	1366.6666	B	136	136
42	1400.0	B	136	136
43	1433.3334	B	136	136
48	1600.0	I	528	530
45	1500.0	B	136	136
46	1533.3334	B	136	136
47	1566.6666	B	136	136
52	1733.3334	P	160	159
49	1633.3334	B	136	136
50	1666.6666	B	136	136
51	1700.0	B	136	136
56	1866.6666	P	160	159
53	1766.6666	B	136	136
54	1800.0	B	136	136
55	1833.3334	B	136	136
60	2000.0	P	160	159
57	1900.0	B	136	136
58	1933.3334	B	136	136
59	1966.6666	B	136	136
64	2133.3333	I	51024	10628
61	2033.3334	B	448	142
62	2066.6667	B	1480	171
63	2100.0	B	7888	332
68	2266.6667	P	126792	9900
65	2166.6667	B	34656	1032
66	2200.0	B	34656	1704
67	2233.3333	B	192	1675
72	2400.0	P	141592	19306
69	2300.0	B	41704	2445
70	2333.3333	B	44288	3234
71	2366.6667	B	224	3178
76	2533.3333	P	133216	26900
73	2433.3333	B	35208	3761
74	2466.6667	B	35720	4331
75	2500.0	B	192	4259
80	2666.6667	I	217848	45165
77	2566.6667	B	46544	4988
78	2600.0	B	51360	5774
79	2633.3333	B	47600	6471
84	2800.0	P	120248	32735
81	2700.0	B	41048	7038
82	2733.3333	B	41048	7586
83	2766.6667	B	50008	8260
88	2933.3333	P	138176	38937
85	2833.3333	B	208	8134
86	2866.6667	B	57008	8886
87	2900.0	B	70192	9815
92	3066.6667	P	143864	44766
89	2966.6667	B	65360	10644
90	3000.0	B	70952	11530
91	3033.3333	B	192	11366
96	3200.0	I	275664	78093
93	3100.0	B	59336	12051
94	3133.3333	B	69752	12864
95	3166.6667	B	64472	13581
100	3333.3333	P	110856	48245
97	3233.3333	B	68216	14329
98	3266.6667	B	68216	15057
99	3300.0	B	59528	15650
104	3466.6667	P	126984	52182
101	3366.6667	B	50480	16109
102	3400.0	B	60456	16685
103	3433.3333	B	672	16479
108	3600.0	P	121912	55502
105	3500.0	B	52792	16939
106	3533.3333	B	54512	17409
107	3566.6667	B	54512	17867
112	3733.3333	I	280464	103390
109	3633.3333	B	53240	18298
110	3666.6667	B	59760	18798
111	3700.0	B	58024	19265
116	3866.6667	P	102040	57617
113	3766.6667	B	536	19044
114	3800.0	B	59072	19510
115	3833.3333	B	55144	19919
120	4000.0	P	118976	60285
117	3900.0	B	56952	20340
118	3933.3333	B	57944	20763
119	3966.6667	B	57944	21176
124	4133.3335	P	102936	62062
121	4033.3333	B	57080	21570
122	4066.6667	B	57080	21956
123	4100.0	B	55440	22316
128	4266.6665	I	282208	123258
125	4166.6665	B	49944	22610
126	4200.0	B	42680	22821
127	4233.3335	B	744	22591
132	4400.0	P	96856	63454
129	4300.0	B	44416	22816
130	4333.3335	B	48296	23076
131	4366.6665	B	44416	23292
136	4533.3335	P	104232	65022
133	4433.3335	B	43280	23492
134	4466.6665	B	43280	23688
135	4500.0	B	49872	23944
140	4666.6665	P	85336	65775
137	4566.6665	B	664	23718
138	4600.0	B	46640	23939
139	4633.3335	B	46288	24152
144	4800.0	I	279104	138843
141	4700.0	B	50200	24397
142	4733.3335	B	50048	24637
143	4766.6665	B	50048	24872
148	4933.3335	P	111496	67408
145	4833.3335	B	47976	25084
146	4866.6665	B	51296	25323
147	4900.0	B	52136	25564
152	5066.6665	P	88720	68142
149	4966.6665	B	720	25342
150	5000.0	B	39864	25471
151	5033.3335	B	672	25253
156	5200.0	P	88608	68825
153	5100.0	B	46984	25442
154	5133.3335	B	47456	25632
155	5166.6665	B	51080	25850
160	5333.3335	I	277000	151402
157	5233.3335	B	59784	26137
158	5266.6665	B	59784	26420
