0	30
1225	99
1545	27
1205	80
810	13
346	138
270	124
143	110
371	97
628	21
443	4
919	88
266	50
823	68
348	325
267	144
384	53
244	19
479	100
1214	10
418	6
1981	385
342	20
724	135
489	23
2008	72
418	23
347	91
2028	156
953	379
392	227
272	92
398	132
1571	8
829	159
1107	57
356	260
1454	20
1443	127
1348	22
402	110
370	61
609	43
2001	8
1503	127
887	131
599	91
620	132
530	320
1561	121
1093	15
1223	47
367	57
1666	157
1884	68
266	79
269	98
212	86
2010	285
673	27
1023	83
268	185
1905	358
784	27
865	277
208	43
1924	12
1756	180
2502	87
432	135
289	86
992	24
416	59
2218	54
107	35
146	3
690	13
350	360
295	207
499	72
435	219
376	6
2952	31
533	109
1505	8
2942	19
1832	2
3881	132
837	8
691	68
885	58
2154	179
293	190
198	29
215	43
1110	628
807	125
2021	110
612	278
1374	125
929	66
374	114
666	16
451	80
1171	258
233	35
638	132
436	60
48	60
2450	69
1565	5
2132	7
1576	189
611	51
244	22
1186	9
1894	254
961	35
1510	145
190	35
1473	3
1454	28
506	36
280	97
1199	17
650	83
657	177
1740	57
824	6
112	147
688	34
2034	18
647	110
256	98
1476	35
1382	16
1430	148
154	57
1251	102
483	2
309	111
2128	35
2559	279
3387	3
3764	120
320	124
459	333
235	40
275	94
500	313
871	31
2985	402
52	7
24	102
19	152
33	33
52	98
1163	118
1183	131
326	14
1831	22
420	164
1075	340
30	49
1074	260
194	231
188	139
188	91
1302	20
1453	122
1003	5
538	168
1034	10
1371	191
1037	254
200	111
928	324
1340	186
1125	103
215	55
715	166
818	155
596	147
1548	57
1214	196
613	15
573	14
228	1
158	68
446	277
242	12
312	89
277	179
952	33
2383	6
586	170
377	54
1124	33
1590	78
1343	34
644	1
489	473
5736	241
1421	93
2508	43
40	91
980	87
315	632
188	43
925	67
269	88
206	19
195	12
30	99
1231	8
239	40
277	68
756	6
325	12
239	47
834	39
822	39
255	150
3406	30
1145	298
561	142
818	5
764	24
3105	69
988	26
710	130
2369	56
655	86
1284	69
789	193
1156	81
453	83
181	22
954	31
373	420
2712	90
3823	163
247	7
1072	320
387	100
620	5
290	116
276	55
401	67
257	126
1103	39
968	37
1580	187
197	50
908	14
1461	196
1116	59
1430	122
168	128
380	75
656	443
215	149
558	98
667	33
779	56
749	30
61	55
764	10
1008	93
953	82
877	79
559	340
231	112
144	53
3601	60
247	308
853	217
1533	325
1524	24
2418	29
153	14
1536	49
193	114
662	74
39	357
2037	79
717	130
1024	393
175	24
1127	28
674	113
253	241
2301	31
132	18
306	125
224	226
1434	31
225	17
228	175
604	69
1865	220
799	59
143	74
761	20
423	45
839	54
307	56
1106	125
3134	44
359	4
1639	5
406	3
199	17
147	51
797	173
746	211
622	263
146	26
346	19
1525	66
721	151
1913	190
1294	24
235	172
1209	36
1152	24
626	39
1064	20
786	245
165	115
453	22
1659	41
391	112
1097	99
292	93
611	187
727	204
1736	40
2496	48
945	137
645	76
807	379
1366	6
112	52
650	21
144	26
504	10
1219	268
791	56
342	204
929	15
1416	89
1309	36
852	93
583	28
1709	9
879	107
327	26
779	59
913	46
387	11
3313	69
466	110
213	90
1999	324
778	69
171	116
507	142
2270	98
604	154
50	201
167	656
673	39
756	162
1072	112
483	115
1254	20
3119	44
687	523
43	94
167	29
211	113
532	13
729	19
1299	319
544	115
1532	32
466	28
1318	15
1014	44
247	35
867	93
863	118
774	29
309	119
691	278
246	48
1912	162
1692	4
1075	36
28	39
272	151
216	91
970	108
919	113
501	17
1011	55
75	299
25	77
1204	43
273	277
2497	24
269	86
548	65
1255	63
1554	96
46	13
1050	200
513	33
1056	58
385	92
230	84
903	333
1175	43
473	159
789	344
661	24
1175	11
2000	36
1119	48
504	330
1499	74
263	101
1652	88
223	23
247	112
655	30
307	10
392	376
877	105
417	44
1584	164
674	18
927	59
2355	97
925	11
3259	101
3358	49
496	185
968	29
631	164
424	265
1780	12
1088	84
1323	41
1710	267
469	123
339	21
467	1
206	134
190	46
162	56
340	18
1672	52
663	37
469	73
325	63
509	153
1125	127
1173	76
22	154
936	153
803	16
233	34
157	49
1132	83
1845	29
785	170
1640	86
600	73
596	18
1935	16
820	209
203	64
156	69
2538	52
691	98
327	7
1230	703
908	82
2478	30
3372	118
916	67
813	594
164	56
917	38
914	96
418	24
196	200
1493	357
958	114
162	22
257	55
294	21
263	115
2152	3
685	66
218	10
1090	50
1867	67
77	94
728	85
1188	99
831	73
1491	56
488	86
890	3
2544	30
1219	243
607	219
1992	24
1139	9
174	12
2270	20
547	60
1490	181
20	39
940	158
148	192
1446	381
1137	9
815	16
209	108
1972	209
4580	123
171	523
26	123
1161	66
1189	22
1481	35
1120	10
2826	178
198	244
46	65
399	22
418	41
580	140
258	151
641	69
159	49
797	43
852	43
389	40
1817	77
2189	10
2019	23
409	49
297	103
898	98
455	44
1656	50
188	57
238	62
349	29
1045	15
563	6
149	153
163	63
455	1
3944	168
117	30
583	242
750	11
1205	4
1810	36
1106	245
1078	22
1644	62
219	151
270	78
134	185
250	92
669	21
225	74
185	183
416	298
232	19
1534	35
292	329
1058	177
400	40
1600	18
334	11
466	171
614	451
648	17
321	16
990	123
155	27
156	2
921	13
1026	4
760	122
33	16
517	45
1199	22
2125	31
382	46
283	2
544	51
145	169
1766	49
47	102
577	31
2088	51
1643	68
765	130
435	107
537	432
549	263
527	8
2973	121
446	123
675	6
1109	282
3190	126
1696	34
136	75
153	20
1586	69
2173	150
155	1
151	63
153	63
92	60
939	266
1114	18
1514	158
1325	202
885	36
2406	29
2479	14
21	139
182	196
2735	114
2094	47
2961	4
764	7
1158	291
543	37
287	76
1735	6
2462	77
18	16
2919	13
237	10
179	100
179	14
2970	389
398	10
292	174
410	195
872	106
1226	181
21	88
187	39
135	268
284	18
440	134
2185	95
901	19
276	12
728	125
349	60
268	1
1476	177
1316	122
226	98
585	90
212	71
413	29
2728	80
150	206
4349	158
625	2
447	2
4204	58
615	16
851	102
800	235
294	265
158	151
888	34
968	133
377	78
1173	20
750	132
883	20
1299	181
1279	23
213	34
165	80
189	62
152	6
1071	80
371	525
1934	66
1687	155
861	50
172	10
1509	223
509	47
424	335
223	20
1286	44
1199	45
182	141
270	4
675	7
241	82
364	135
1440	146
242	124
867	17
797	86
708	84
3776	128
112	17
869	32
599	507
29	351
843	148
1697	99
3351	170
21	191
1744	38
850	31
707	170
735	119
349	30
191	123
218	222
565	33
28	35
1004	10
39	101
598	15
1202	109
1712	6
1042	30
361	7
708	55
991	273
25	41
238	6
1242	222
855	45
2946	90
737	35
2687	24
1535	102
455	68
380	428
5864	8
3444	61
507	147
781	49
787	18
329	90
841	24
360	29
298	103
929	310
571	67
376	10
676	161
426	212
43	130
278	125
1274	29
183	35
677	141
366	4
661	64
1111	54
649	161
192	45
374	15
2897	60
575	109
184	91
1366	21
768	37
1488	118
1988	41
169	92
264	57
275	29
335	79
2497	24
1312	25
1204	5
1775	71
636	65
458	249
755	223
37	136
1737	11
747	61
2059	17
1167	29
462	291
221	14
545	21
347	85
970	232
532	17
961	15
272	31
641	5
780	148
3441	30
199	108
29	185
1882	314
458	70
193	39
1414	83
164	29
1050	75
646	683
1525	31
559	170
2671	19
788	26
1574	11
459	146
705	66
236	21
668	54
1715	297
46	23
247	33
1135	156
751	37
1193	239
417	58
154	102
311	202
240	159
1121	73
1077	53
1045	27
642	206
454	26
410	157
2080	156
190	245
823	266
52	159
467	138
619	95
2292	38
803	10
1424	27
664	84
1590	6
268	197
668	96
344	187
452	20
542	20
438	134
34	74
1598	56
347	63
630	57
2088	51
379	2
2107	16
2830	277
599	13
1133	42
675	137
211	95
705	191
1018	71
183	260
1363	82
160	239
730	88
509	60
299	65
1332	12
165	35
1254	144
251	263
1024	107
323	40
229	19
942	288
65	60
144	19
754	19
233	65
1089	3
511	467
1191	234
413	83
1526	44
933	124
1793	101
288	54
65	275
1664	65
613	24
543	56
1161	11
197	110
844	108
1076	48
528	322
1359	244
729	95
884	112
390	111
1640	48
339	7
251	218
1142	22
1623	112
464	55
281	38
392	328
3140	13
68	5
972	23
1103	226
1726	98
361	23
906	15
1392	84
29	9
782	143
167	17
811	64
262	64
746	129
291	10
874	290
40	35
1138	131
1187	59
554	102
3791	194
192	239
670	30
2393	176
591	55
362	47
587	50
764	312
1714	14
1598	138
427	117
38	291
2762	95
634	148
1523	46
1404	118
669	2
513	286
448	186
224	5
186	65
786	23
284	122
172	217
158	188
535	48
1538	315
2092	160
257	74
751	188
953	64
2052	13
1340	19
218	28
739	134
234	229
629	46
42	256
841	40
2145	32
433	90
1211	48
927	99
244	155
675	2
1928	57
160	13
1340	13
202	194
1825	39
1010	13
661	51
469	45
182	53
1266	158
551	22
3149	122
426	63
815	231
2119	14
1220	85
563	91
209	7
1673	23
3674	12
169	40
1265	85
738	102
393	52
792	97
165	22
201	203
2070	21
854	103
820	86
1081	27
62	41
1751	29
181	37
465	65
504	235
2700	229
329	144
585	12
680	25
122	107
1470	88
1963	94
2202	45
62	35
41	254
158	272
685	98
195	60
1474	23
175	434
1218	38
1612	138
332	191
3616	1
220	123
1179	35
1424	104
264	194
1054	6
